
########## RESULTS ##########

Round number: 211200              Ave money: $32.67          Ave winnings: $-4967.33
Round number: 211800              Ave money: $32.13          Ave winnings: $-4967.87
Round number: 212400              Ave money: $31.68          Ave winnings: $-4968.32
Round number: 213000              Ave money: $31.14          Ave winnings: $-4968.86
Round number: 213600              Ave money: $31.18          Ave winnings: $-4968.82
Round number: 214200              Ave money: $31.69          Ave winnings: $-4968.31
Round number: 214800              Ave money: $31.27          Ave winnings: $-4968.73
Round number: 215400              Ave money: $31.39          Ave winnings: $-4968.60
Round number: 216000              Ave money: $30.97          Ave winnings: $-4969.03
Round number: 216600              Ave money: $30.77          Ave winnings: $-4969.23
Round number: 217200              Ave money: $30.20          Ave winnings: $-4969.80
Round number: 217800              Ave money: $29.54          Ave winnings: $-4970.46
Round number: 218400              Ave money: $29.77          Ave winnings: $-4970.23
Round number: 219000              Ave money: $29.85          Ave winnings: $-4970.15
Round number: 219600              Ave money: $29.34          Ave winnings: $-4970.66
Round number: 220200              Ave money: $28.73          Ave winnings: $-4971.27
Round number: 220800              Ave money: $28.98          Ave winnings: $-4971.02
Round number: 221400              Ave money: $28.94          Ave winnings: $-4971.06
Round number: 222000              Ave money: $28.42          Ave winnings: $-4971.58
Round number: 222600              Ave money: $28.38          Ave winnings: $-4971.62
Round number: 223200              Ave money: $28.24          Ave winnings: $-4971.76
Round number: 223800              Ave money: $27.76          Ave winnings: $-4972.24
Round number: 224400              Ave money: $27.39          Ave winnings: $-4972.61
Round number: 225000              Ave money: $26.32          Ave winnings: $-4973.68
Round number: 225600              Ave money: $25.68          Ave winnings: $-4974.31
Round number: 226200              Ave money: $25.82          Ave winnings: $-4974.18
Round number: 226800              Ave money: $25.50          Ave winnings: $-4974.50
Round number: 227400              Ave money: $25.91          Ave winnings: $-4974.09
Round number: 228000              Ave money: $25.08          Ave winnings: $-4974.92
Round number: 228600              Ave money: $25.03          Ave winnings: $-4974.97
Round number: 229200              Ave money: $25.02          Ave winnings: $-4974.98
Round number: 229800              Ave money: $24.74          Ave winnings: $-4975.26
Round number: 230400              Ave money: $24.88          Ave winnings: $-4975.12
Round number: 231000              Ave money: $24.68          Ave winnings: $-4975.32
Round number: 231600              Ave money: $24.57          Ave winnings: $-4975.43
Round number: 232200              Ave money: $24.48          Ave winnings: $-4975.52
