
########## RESULTS ##########

Round number: 78000               Ave money: $469.69          Ave winnings: $-4530.31
Round number: 78300               Ave money: $467.48          Ave winnings: $-4532.52
Round number: 78600               Ave money: $463.78          Ave winnings: $-4536.22
Round number: 78900               Ave money: $461.33          Ave winnings: $-4538.67
Round number: 79200               Ave money: $457.66          Ave winnings: $-4542.34
Round number: 79500               Ave money: $453.77          Ave winnings: $-4546.23
Round number: 79800               Ave money: $451.28          Ave winnings: $-4548.72
Round number: 80100               Ave money: $449.75          Ave winnings: $-4550.25
Round number: 80400               Ave money: $445.93          Ave winnings: $-4554.07
Round number: 80700               Ave money: $442.86          Ave winnings: $-4557.14
Round number: 81000               Ave money: $438.35          Ave winnings: $-4561.65
Round number: 81300               Ave money: $437.17          Ave winnings: $-4562.83
Round number: 81600               Ave money: $434.69          Ave winnings: $-4565.31
Round number: 81900               Ave money: $430.70          Ave winnings: $-4569.30
Round number: 82200               Ave money: $427.29          Ave winnings: $-4572.71
Round number: 82500               Ave money: $424.84          Ave winnings: $-4575.16
Round number: 82800               Ave money: $421.86          Ave winnings: $-4578.14
Round number: 83100               Ave money: $418.18          Ave winnings: $-4581.82
Round number: 83400               Ave money: $413.75          Ave winnings: $-4586.25
Round number: 83700               Ave money: $411.71          Ave winnings: $-4588.29
Round number: 84000               Ave money: $408.75          Ave winnings: $-4591.25
Round number: 84300               Ave money: $406.95          Ave winnings: $-4593.05
Round number: 84600               Ave money: $404.49          Ave winnings: $-4595.52
Round number: 84900               Ave money: $401.65          Ave winnings: $-4598.35
Round number: 85200               Ave money: $398.13          Ave winnings: $-4601.87
Round number: 85500               Ave money: $394.04          Ave winnings: $-4605.96
Round number: 85800               Ave money: $393.11          Ave winnings: $-4606.89
Round number: 86100               Ave money: $391.48          Ave winnings: $-4608.52
Round number: 86400               Ave money: $389.83          Ave winnings: $-4610.17
Round number: 86700               Ave money: $386.69          Ave winnings: $-4613.31
Round number: 87000               Ave money: $382.86          Ave winnings: $-4617.14
Round number: 87300               Ave money: $381.14          Ave winnings: $-4618.86
Round number: 87600               Ave money: $380.05          Ave winnings: $-4619.95
Round number: 87900               Ave money: $377.35          Ave winnings: $-4622.65
Round number: 88200               Ave money: $376.42          Ave winnings: $-4623.59
Round number: 88500               Ave money: $374.02          Ave winnings: $-4625.98
Round number: 88800               Ave money: $372.00          Ave winnings: $-4628.00
Round number: 89100               Ave money: $369.10          Ave winnings: $-4630.90
Round number: 89400               Ave money: $367.71          Ave winnings: $-4632.29
Round number: 89700               Ave money: $363.83          Ave winnings: $-4636.17
Round number: 90000               Ave money: $360.00          Ave winnings: $-4639.99
Round number: 90300               Ave money: $357.48          Ave winnings: $-4642.52
Round number: 90600               Ave money: $352.59          Ave winnings: $-4647.41
Round number: 90900               Ave money: $349.08          Ave winnings: $-4650.92
Round number: 91200               Ave money: $347.14          Ave winnings: $-4652.86
Round number: 91500               Ave money: $343.36          Ave winnings: $-4656.64
Round number: 91800               Ave money: $341.44          Ave winnings: $-4658.56
Round number: 92100               Ave money: $339.23          Ave winnings: $-4660.77
Round number: 92400               Ave money: $336.83          Ave winnings: $-4663.17
Round number: 92700               Ave money: $333.85          Ave winnings: $-4666.15
Round number: 93000               Ave money: $330.64          Ave winnings: $-4669.36
Round number: 93300               Ave money: $330.51          Ave winnings: $-4669.49
Round number: 93600               Ave money: $329.23          Ave winnings: $-4670.77
Round number: 93900               Ave money: $326.44          Ave winnings: $-4673.56
Round number: 94200               Ave money: $323.85          Ave winnings: $-4676.15
Round number: 94500               Ave money: $321.43          Ave winnings: $-4678.57
Round number: 94800               Ave money: $319.11          Ave winnings: $-4680.89
Round number: 95100               Ave money: $316.91          Ave winnings: $-4683.09
Round number: 95400               Ave money: $315.69          Ave winnings: $-4684.31
Round number: 95700               Ave money: $311.82          Ave winnings: $-4688.18
Round number: 96000               Ave money: $310.24          Ave winnings: $-4689.76
Round number: 96300               Ave money: $307.80          Ave winnings: $-4692.20
