
########## RESULTS ##########

Round number: 516                 Ave money: $437.74          Ave winnings: $-62.26
Round number: 518                 Ave money: $437.45          Ave winnings: $-62.55
Round number: 520                 Ave money: $437.63          Ave winnings: $-62.37
Round number: 522                 Ave money: $437.80          Ave winnings: $-62.20
Round number: 524                 Ave money: $437.56          Ave winnings: $-62.44
Round number: 526                 Ave money: $437.20          Ave winnings: $-62.80
Round number: 528                 Ave money: $436.57          Ave winnings: $-63.43
Round number: 530                 Ave money: $436.60          Ave winnings: $-63.40
Round number: 532                 Ave money: $436.14          Ave winnings: $-63.86
Round number: 534                 Ave money: $436.28          Ave winnings: $-63.72
Round number: 536                 Ave money: $435.53          Ave winnings: $-64.47
Round number: 538                 Ave money: $435.46          Ave winnings: $-64.54
Round number: 540                 Ave money: $435.46          Ave winnings: $-64.54
Round number: 542                 Ave money: $435.69          Ave winnings: $-64.31
Round number: 544                 Ave money: $435.33          Ave winnings: $-64.67
Round number: 546                 Ave money: $435.10          Ave winnings: $-64.90
Round number: 548                 Ave money: $435.20          Ave winnings: $-64.80
Round number: 550                 Ave money: $435.17          Ave winnings: $-64.83
Round number: 552                 Ave money: $435.39          Ave winnings: $-64.61
Round number: 554                 Ave money: $435.16          Ave winnings: $-64.84
Round number: 556                 Ave money: $435.22          Ave winnings: $-64.78
Round number: 558                 Ave money: $434.75          Ave winnings: $-65.25
Round number: 560                 Ave money: $434.70          Ave winnings: $-65.30
Round number: 562                 Ave money: $434.78          Ave winnings: $-65.22
Round number: 564                 Ave money: $434.72          Ave winnings: $-65.28
Round number: 566                 Ave money: $434.39          Ave winnings: $-65.61
Round number: 568                 Ave money: $434.37          Ave winnings: $-65.63
Round number: 570                 Ave money: $434.01          Ave winnings: $-65.99
Round number: 572                 Ave money: $433.81          Ave winnings: $-66.19
Round number: 574                 Ave money: $433.91          Ave winnings: $-66.09
Round number: 576                 Ave money: $433.71          Ave winnings: $-66.29
Round number: 578                 Ave money: $433.69          Ave winnings: $-66.31
Round number: 580                 Ave money: $433.34          Ave winnings: $-66.66
Round number: 582                 Ave money: $433.25          Ave winnings: $-66.75
Round number: 584                 Ave money: $433.42          Ave winnings: $-66.58
Round number: 586                 Ave money: $433.43          Ave winnings: $-66.57
Round number: 588                 Ave money: $433.35          Ave winnings: $-66.65
Round number: 590                 Ave money: $433.29          Ave winnings: $-66.71
Round number: 592                 Ave money: $433.23          Ave winnings: $-66.77
Round number: 594                 Ave money: $433.40          Ave winnings: $-66.60
Round number: 596                 Ave money: $433.32          Ave winnings: $-66.68
Round number: 598                 Ave money: $433.84          Ave winnings: $-66.16
Round number: 600                 Ave money: $434.14          Ave winnings: $-65.86
Round number: 602                 Ave money: $433.75          Ave winnings: $-66.25
Round number: 604                 Ave money: $433.69          Ave winnings: $-66.31
Round number: 606                 Ave money: $433.69          Ave winnings: $-66.31
Round number: 608                 Ave money: $433.59          Ave winnings: $-66.41
Round number: 610                 Ave money: $433.42          Ave winnings: $-66.58
Round number: 612                 Ave money: $433.36          Ave winnings: $-66.64
Round number: 614                 Ave money: $433.97          Ave winnings: $-66.03
Round number: 616                 Ave money: $433.81          Ave winnings: $-66.19
Round number: 618                 Ave money: $434.23          Ave winnings: $-65.77
Round number: 620                 Ave money: $433.62          Ave winnings: $-66.38
Round number: 622                 Ave money: $433.76          Ave winnings: $-66.24
Round number: 624                 Ave money: $433.69          Ave winnings: $-66.31
Round number: 626                 Ave money: $433.75          Ave winnings: $-66.25
Round number: 628                 Ave money: $433.87          Ave winnings: $-66.13
Round number: 630                 Ave money: $433.99          Ave winnings: $-66.01
Round number: 632                 Ave money: $434.19          Ave winnings: $-65.81
Round number: 634                 Ave money: $434.16          Ave winnings: $-65.84
Round number: 636                 Ave money: $434.13          Ave winnings: $-65.87
Round number: 638                 Ave money: $433.79          Ave winnings: $-66.21
Round number: 640                 Ave money: $433.44          Ave winnings: $-66.56
Round number: 642                 Ave money: $433.23          Ave winnings: $-66.77
Round number: 644                 Ave money: $433.01          Ave winnings: $-66.99
Round number: 646                 Ave money: $432.58          Ave winnings: $-67.42
Round number: 648                 Ave money: $433.23          Ave winnings: $-66.77
Round number: 650                 Ave money: $432.73          Ave winnings: $-67.27
Round number: 652                 Ave money: $432.23          Ave winnings: $-67.77
Round number: 654                 Ave money: $431.67          Ave winnings: $-68.33
Round number: 656                 Ave money: $431.18          Ave winnings: $-68.82
Round number: 658                 Ave money: $431.18          Ave winnings: $-68.82
Round number: 660                 Ave money: $430.99          Ave winnings: $-69.01
Round number: 662                 Ave money: $430.86          Ave winnings: $-69.14
Round number: 664                 Ave money: $430.36          Ave winnings: $-69.64
Round number: 666                 Ave money: $430.12          Ave winnings: $-69.88
Round number: 668                 Ave money: $429.84          Ave winnings: $-70.16
Round number: 670                 Ave money: $429.95          Ave winnings: $-70.05
Round number: 672                 Ave money: $430.10          Ave winnings: $-69.90
Round number: 674                 Ave money: $429.65          Ave winnings: $-70.35
Round number: 676                 Ave money: $429.47          Ave winnings: $-70.53
Round number: 678                 Ave money: $429.72          Ave winnings: $-70.28
Round number: 680                 Ave money: $429.67          Ave winnings: $-70.33
Round number: 682                 Ave money: $429.70          Ave winnings: $-70.30
Round number: 684                 Ave money: $429.71          Ave winnings: $-70.29
Round number: 686                 Ave money: $429.27          Ave winnings: $-70.73
Round number: 688                 Ave money: $428.72          Ave winnings: $-71.28
Round number: 690                 Ave money: $427.94          Ave winnings: $-72.06
Round number: 692                 Ave money: $427.32          Ave winnings: $-72.68
Round number: 694                 Ave money: $427.37          Ave winnings: $-72.63
Round number: 696                 Ave money: $426.74          Ave winnings: $-73.26
Round number: 698                 Ave money: $426.58          Ave winnings: $-73.42
Round number: 700                 Ave money: $426.72          Ave winnings: $-73.28
Round number: 702                 Ave money: $426.59          Ave winnings: $-73.41
Round number: 704                 Ave money: $426.23          Ave winnings: $-73.77
Round number: 706                 Ave money: $426.03          Ave winnings: $-73.97
Round number: 708                 Ave money: $425.83          Ave winnings: $-74.17
Round number: 710                 Ave money: $425.80          Ave winnings: $-74.20
Round number: 712                 Ave money: $425.74          Ave winnings: $-74.26
Round number: 714                 Ave money: $426.00          Ave winnings: $-74.00
Round number: 716                 Ave money: $426.03          Ave winnings: $-73.97
Round number: 718                 Ave money: $425.89          Ave winnings: $-74.11
Round number: 720                 Ave money: $425.49          Ave winnings: $-74.51
Round number: 722                 Ave money: $425.29          Ave winnings: $-74.71
Round number: 724                 Ave money: $424.83          Ave winnings: $-75.17
Round number: 726                 Ave money: $424.56          Ave winnings: $-75.44
Round number: 728                 Ave money: $424.36          Ave winnings: $-75.64
Round number: 730                 Ave money: $424.26          Ave winnings: $-75.74
Round number: 732                 Ave money: $424.47          Ave winnings: $-75.53
Round number: 734                 Ave money: $424.67          Ave winnings: $-75.33
Round number: 736                 Ave money: $424.46          Ave winnings: $-75.54
Round number: 738                 Ave money: $424.18          Ave winnings: $-75.82
Round number: 740                 Ave money: $424.16          Ave winnings: $-75.84
Round number: 742                 Ave money: $423.49          Ave winnings: $-76.51
Round number: 744                 Ave money: $424.23          Ave winnings: $-75.77
Round number: 746                 Ave money: $424.11          Ave winnings: $-75.89
Round number: 748                 Ave money: $423.88          Ave winnings: $-76.12
Round number: 750                 Ave money: $424.14          Ave winnings: $-75.86
Round number: 752                 Ave money: $423.62          Ave winnings: $-76.38
Round number: 754                 Ave money: $423.65          Ave winnings: $-76.35
Round number: 756                 Ave money: $423.77          Ave winnings: $-76.23
Round number: 758                 Ave money: $423.51          Ave winnings: $-76.49
Round number: 760                 Ave money: $423.53          Ave winnings: $-76.47
Round number: 762                 Ave money: $423.65          Ave winnings: $-76.35
Round number: 764                 Ave money: $423.11          Ave winnings: $-76.89
Round number: 766                 Ave money: $423.20          Ave winnings: $-76.80
Round number: 768                 Ave money: $423.57          Ave winnings: $-76.43
Round number: 770                 Ave money: $423.50          Ave winnings: $-76.50
Round number: 772                 Ave money: $423.57          Ave winnings: $-76.43
Round number: 774                 Ave money: $423.39          Ave winnings: $-76.61
Round number: 776                 Ave money: $423.62          Ave winnings: $-76.38
Round number: 778                 Ave money: $423.58          Ave winnings: $-76.42
Round number: 780                 Ave money: $423.53          Ave winnings: $-76.47
Round number: 782                 Ave money: $423.31          Ave winnings: $-76.69
Round number: 784                 Ave money: $423.08          Ave winnings: $-76.92
Round number: 786                 Ave money: $423.00          Ave winnings: $-77.00
Round number: 788                 Ave money: $422.54          Ave winnings: $-77.46
Round number: 790                 Ave money: $422.67          Ave winnings: $-77.33
Round number: 792                 Ave money: $422.77          Ave winnings: $-77.23
Round number: 794                 Ave money: $422.58          Ave winnings: $-77.42
Round number: 796                 Ave money: $422.53          Ave winnings: $-77.47
Round number: 798                 Ave money: $422.14          Ave winnings: $-77.86
Round number: 800                 Ave money: $422.17          Ave winnings: $-77.83
Round number: 802                 Ave money: $422.09          Ave winnings: $-77.91
Round number: 804                 Ave money: $422.08          Ave winnings: $-77.92
Round number: 806                 Ave money: $421.93          Ave winnings: $-78.07
Round number: 808                 Ave money: $421.45          Ave winnings: $-78.55
Round number: 810                 Ave money: $421.06          Ave winnings: $-78.94
Round number: 812                 Ave money: $420.69          Ave winnings: $-79.31
Round number: 814                 Ave money: $421.03          Ave winnings: $-78.97
Round number: 816                 Ave money: $420.76          Ave winnings: $-79.24
Round number: 818                 Ave money: $420.60          Ave winnings: $-79.40
Round number: 820                 Ave money: $420.35          Ave winnings: $-79.65
Round number: 822                 Ave money: $420.24          Ave winnings: $-79.76
Round number: 824                 Ave money: $420.61          Ave winnings: $-79.39
Round number: 826                 Ave money: $420.76          Ave winnings: $-79.24
Round number: 828                 Ave money: $420.75          Ave winnings: $-79.25
Round number: 830                 Ave money: $420.05          Ave winnings: $-79.95
Round number: 832                 Ave money: $420.17          Ave winnings: $-79.83
Round number: 834                 Ave money: $420.02          Ave winnings: $-79.98
Round number: 836                 Ave money: $419.98          Ave winnings: $-80.02
Round number: 838                 Ave money: $419.49          Ave winnings: $-80.51
Round number: 840                 Ave money: $419.48          Ave winnings: $-80.52
Round number: 842                 Ave money: $419.11          Ave winnings: $-80.89
